%firm_id,year,profitability,inv_rate,,
1137,1974,0.2213954,0.0603096,,
1137,1975,0.2482253,0.1212653,,
1137,1976,0.3656557,0.2937879,,
1137,1977,0.155756,0.0901363,,
1140,1988,-0.2293978,0.0184516,,
1141,1974,0.1515008,0.0359992,,
1141,1975,0.1143635,0.0428344,,
1141,1976,0.1271963,0.0369783,,
1141,1977,0.1479693,0.0666959,,
1141,1978,0.1776397,0.0625996,,
1141,1979,0.164439,0.0607689,,
1141,1980,0.1499227,0.0306543,,
1141,1981,0.1522961,0.029997,,
1141,1982,0.1159142,0.0266249,,
1141,1983,0.1366545,0.04775,,
1141,1984,0.1559303,0.0446483,,
1141,1985,0.1755542,0.0515106,,
1141,1986,0.1721999,0.0539017,,
1141,1987,0.172967,0.0394486,,
1141,1988,0.179159,0.0363751,,
1141,1989,0.1516088,0.0516708,,
1141,1990,0.1079916,0.0228662,,
1141,1991,0.0913022,0.0216287,,
1141,1992,0.058811,0.0225572,,
1141,1993,0.0797095,0.0163877,,
1141,1994,0.0832467,0.0217252,,
1141,1995,0.0999427,0.0177237,,
1141,1996,0.1260192,0.0691841,,
1141,1997,0.1491718,0.0330354,,
1141,1998,0.1408437,0.0538819,,
1141,1999,0.1225259,0.0307502,,
1141,2000,0.0868653,0.0177247,,
1141,2001,0.0387645,0.0172572,,
1141,2002,0.0432907,0.013982,,
1141,2003,0.0691663,0.0149806,,
1141,2004,0.0870925,0.0183747,,
1141,2005,0.1254756,0.0222553,,
1141,2006,0.1214801,0.0305378,,
1141,2007,0.1578464,0.0284124,,
1141,2008,0.1219374,0.0202164,,
1141,2009,0.0975274,0.0209472,,
1141,2010,0.1307838,0.0831949,,
1141,2011,0.1307093,0.0535403,,
1141,2012,0.1116752,0.0171247,,
1141,2013,0.1197997,0.0124011,,
1141,2014,0.0380541,0.0210502,,
1141,2015,0.090363,0.0583498,,
1144,1977,-0.150049,0.0066827,,
1146,1987,0.1992232,0.2381356,,
1146,1988,0.220422,0.1541744,,
1146,1989,0.2966023,0.4183292,,
1146,1990,0.2397179,0.2105485,,
1146,1991,0.1799907,0.0843049,,
1146,1992,0.2223628,0.1411738,,
